# HJD    Mag    Mag_err
6912.34888000    -0.00323    0.00798
6912.34916000    0.00033    0.00807
6912.34942000    0.00389    0.00809
6912.34967000    0.00382    0.00808
6912.35018000    -0.00277    0.00800
6912.35095000    -0.00191    0.00811
6912.35121000    0.00005    0.00847
6912.35146000    0.00417    0.00810
6912.35172000    0.00494    0.00812
6912.35197000    -0.00020    0.00799
6912.35223000    0.00311    0.00805
6912.35274000    -0.00707    0.00840
6912.35299000    -0.00092    0.00813
6912.35325000    0.00127    0.00803
6912.35350000    0.00041    0.00820
6912.35376000    0.00172    0.00803
6912.35401000    0.00386    0.00814
6912.35426000    -0.00330    0.00824
6912.35453000    0.00279    0.00808
6912.35479000    0.00654    0.00810
6912.35504000    0.00194    0.00802
6912.35529000    -0.00184    0.00800
6912.35555000    -0.00058    0.00798
6912.35580000    0.00637    0.00809
6912.35606000    0.00343    0.00804
6912.35631000    0.00225    0.00805
6912.35657000    -0.00782    0.00897
6912.35682000    0.00198    0.00814
6912.35708000    -0.00051    0.00799
6912.35784000    -0.00815    0.00786
6912.35810000    -0.00228    0.00795
6912.35836000    0.00801    0.00813
6912.35862000    0.00444    0.00808
6912.35913000    0.00478    0.00829
6912.36014000    0.00125    0.00800
6912.36040000    -0.00394    0.00837
6912.36065000    0.00252    0.00826
6912.36091000    -0.00143    0.00796
6912.36116000    -0.00101    0.00800
6912.36167000    0.00318    0.00805
6912.36218000    0.00698    0.00814
6912.36245000    -0.01467    0.00879
6912.36296000    -0.01249    0.00881
6912.36347000    -0.00131    0.00809
6912.36372000    0.00198    0.00806
6912.36397000    0.00216    0.00804
6912.36423000    0.00008    0.00801
6912.36448000    -0.01350    0.00866
6912.36525000    0.00349    0.00816
6912.36550000    -0.01549    0.00877
6912.36601000    -0.00101    0.00804
6912.36628000    -0.00077    0.00803
6912.36653000    0.00563    0.00811
6912.36679000    0.00437    0.00809
6912.36704000    0.00097    0.00803
6912.36730000    -0.00183    0.00808
6912.36755000    -0.00246    0.00799
6912.36781000    -0.00709    0.00801
6912.36806000    0.00157    0.00814
6912.36832000    0.00017    0.00806
6912.36857000    0.00167    0.00806
6912.36882000    -0.00080    0.00803
6912.36908000    0.00362    0.00810
6912.36933000    -0.00238    0.00796
6912.36959000    -0.00059    0.00801
6912.36984000    0.00353    0.00807
6912.37011000    0.00109    0.00804
6912.37036000    0.00087    0.00822
6912.37062000    0.00406    0.00811
6912.37138000    -0.00570    0.00838
6912.37164000    -0.00225    0.00801
6912.37215000    -0.00316    0.00797
6912.37240000    -0.00181    0.00805
6912.37266000    0.00180    0.00807
6912.37291000    0.00370    0.00812
6912.37316000    0.00393    0.00813
6912.37342000    0.00335    0.00816
6912.37367000    0.00254    0.00811
6912.37393000    0.00273    0.00813
6912.37419000    -0.00180    0.00807
6912.37445000    0.00088    0.00813
6912.37470000    0.01189    0.00824
6912.37496000    0.00273    0.00812
6912.37521000    0.00646    0.00820
6912.37598000    0.00446    0.00818
6912.37623000    -0.00690    0.00827
6912.37649000    0.00062    0.00820
6912.37674000    -0.01404    0.01018
6912.37700000    -0.00161    0.00844
6912.37725000    -0.00343    0.00809
6912.37750000    -0.00020    0.00810
